STAT_CODE,STAT_NAME,CYCLE,FULL_PATH
102Y004,"본원통화 구성내역(평잔, 계절조정계열)",M,"통화/금융 > 통화/유동성 > 본원통화 > 본원통화 구성내역 > 본원통화 구성내역(평잔, 계절조정계열)"
102Y002,"본원통화 구성내역(평잔, 원계열)",M,"통화/금융 > 통화/유동성 > 본원통화 > 본원통화 구성내역 > 본원통화 구성내역(평잔, 원계열)"
102Y003,"본원통화 구성내역(말잔, 계절조정계열)",M,"통화/금융 > 통화/유동성 > 본원통화 > 본원통화 구성내역 > 본원통화 구성내역(말잔, 계절조정계열)"
102Y001,"본원통화 구성내역(말잔, 원계열)",M,"통화/금융 > 통화/유동성 > 본원통화 > 본원통화 구성내역 > 본원통화 구성내역(말잔, 원계열)"
101Y018,"M1 상품별 구성내역(평잔, 계절조정계열)",M,"통화/금융 > 통화/유동성 > M1(협의통화) > M1(협의통화) 상품별 구성내역 > M1 상품별 구성내역(평잔, 계절조정계열)"
101Y019,"M1 상품별 구성내역(평잔, 원계열)",M,"통화/금융 > 통화/유동성 > M1(협의통화) > M1(협의통화) 상품별 구성내역 > M1 상품별 구성내역(평잔, 원계열)"
101Y016,"M1 상품별 구성내역(말잔, 계절조정계열)",M,"통화/금융 > 통화/유동성 > M1(협의통화) > M1(협의통화) 상품별 구성내역 > M1 상품별 구성내역(말잔, 계절조정계열)"
101Y017,"M1 상품별 구성내역(말잔, 원계열)",M,"통화/금융 > 통화/유동성 > M1(협의통화) > M1(협의통화) 상품별 구성내역 > M1 상품별 구성내역(말잔, 원계열)"
101Y003,"M2 상품별 구성내역(평잔, 계절조정계열)",M,"통화/금융 > 통화/유동성 > M2(광의통화) > M2(광의통화) 상품별 구성내역 > M2 상품별 구성내역(평잔, 계절조정계열)"
101Y004,"M2 상품별 구성내역(평잔, 원계열)",M,"통화/금융 > 통화/유동성 > M2(광의통화) > M2(광의통화) 상품별 구성내역 > M2 상품별 구성내역(평잔, 원계열)"
101Y001,"M2 상품별 구성내역(말잔, 계절조정계열)",M,"통화/금융 > 통화/유동성 > M2(광의통화) > M2(광의통화) 상품별 구성내역 > M2 상품별 구성내역(말잔, 계절조정계열)"
101Y002,"M2 상품별 구성내역(말잔, 원계열)",M,"통화/금융 > 통화/유동성 > M2(광의통화) > M2(광의통화) 상품별 구성내역 > M2 상품별 구성내역(말잔, 원계열)"
101Y006,"M2 경제주체별 보유현황(평잔, 계절조정계열)",M,"통화/금융 > 통화/유동성 > M2(광의통화) > M2(광의통화) 경제주체별 보유현황 > M2 경제주체별 보유현황(평잔, 계절조정계열)"
101Y015,"M2 경제주체별 보유현황(평잔, 원계열)",M,"통화/금융 > 통화/유동성 > M2(광의통화) > M2(광의통화) 경제주체별 보유현황 > M2 경제주체별 보유현황(평잔, 원계열)"
101Y005,"M2 경제주체별 보유현황(말잔, 계절조정계열)",M,"통화/금융 > 통화/유동성 > M2(광의통화) > M2(광의통화) 경제주체별 보유현황 > M2 경제주체별 보유현황(말잔, 계절조정계열)"
101Y014,"M2 경제주체별 보유현황(말잔, 원계열)",M,"통화/금융 > 통화/유동성 > M2(광의통화) > M2(광의통화) 경제주체별 보유현황 > M2 경제주체별 보유현황(말잔, 원계열)"
101Y008,M2 기관별구성내역(평잔),M,통화/금융 > 통화/유동성 > M2(광의통화) > M2 기관별 구성내역 > M2 기관별구성내역(평잔)
101Y007,M2 기관별구성내역(말잔),M,통화/금융 > 통화/유동성 > M2(광의통화) > M2 기관별 구성내역 > M2 기관별구성내역(말잔)
111Y003,"Lf 상품별 구성내역(평잔, 계절조정계열)",M,"통화/금융 > 통화/유동성 > Lf(금융기관 유동성) 관련통계 > Lf(금융기관 유동성) 상품별 구성내역 > Lf 상품별 구성내역(평잔, 계절조정계열)"
111Y004,"Lf 상품별 구성내역(평잔, 원계열)",M,"통화/금융 > 통화/유동성 > Lf(금융기관 유동성) 관련통계 > Lf(금융기관 유동성) 상품별 구성내역 > Lf 상품별 구성내역(평잔, 원계열)"
111Y001,"Lf 상품별 구성내역(말잔, 계절조정계열)",M,"통화/금융 > 통화/유동성 > Lf(금융기관 유동성) 관련통계 > Lf(금융기관 유동성) 상품별 구성내역 > Lf 상품별 구성내역(말잔, 계절조정계열)"
111Y002,"Lf 상품별 구성내역(말잔, 원계열)",M,"통화/금융 > 통화/유동성 > Lf(금융기관 유동성) 관련통계 > Lf(금융기관 유동성) 상품별 구성내역 > Lf 상품별 구성내역(말잔, 원계열)"
111Y006,Lf 기관별 구성내역(평잔),M,통화/금융 > 통화/유동성 > Lf(금융기관 유동성) 관련통계 > Lf 기관별 구성내역 > Lf 기관별 구성내역(평잔)
